ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,APPLICANT_AGE,YEARS_WORKING,TOTAL_GOOD_DEBT,TOTAL_BAD_DEBT,STATUS,GOOD_PERCENT
5008836,M,1,1,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,5.0,35.0,3.0,17,0,1,1.0
5008837,M,1,1,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,5.0,35.0,3.0,17,0,1,1.0
5008838,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3.0,32.0,6.0,31,0,1,1.0
5008839,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3.0,32.0,6.0,14,0,1,1.0
5008840,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3.0,32.0,6.0,56,0,1,1.0
5008841,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3.0,32.0,6.0,5,0,1,1.0
5008842,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3.0,32.0,6.0,9,0,1,1.0
5008843,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3.0,32.0,6.0,30,0,1,1.0
5008844,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,56.0,12.0,33,0,1,1.0
5008846,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,56.0,12.0,12,0,1,1.0
5008847,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,56.0,12.0,33,0,1,1.0
5008849,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,56.0,12.0,12,0,1,1.0
5008850,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,56.0,12.0,26,0,1,1.0
5008851,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,56.0,12.0,12,0,1,1.0
5008852,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,56.0,12.0,1,0,1,1.0
5008853,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,56.0,12.0,16,0,1,1.0
5008854,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,43.0,9.0,2,0,1,1.0
5008855,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,43.0,9.0,29,0,1,1.0
5008856,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,43.0,9.0,4,0,1,1.0
5008857,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,43.0,9.0,28,0,1,1.0
5008858,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,43.0,9.0,11,0,1,1.0
5008859,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,43.0,9.0,5,0,1,1.0
5008860,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,43.0,9.0,4,0,1,1.0
5008861,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,43.0,9.0,4,0,1,1.0
5008862,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,43.0,9.0,3,0,1,1.0
5008863,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,43.0,9.0,2,0,1,1.0
5008864,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,43.0,9.0,3,0,1,1.0
5008865,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,43.0,9.0,2,0,1,1.0
5008866,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,43.0,9.0,2,0,1,1.0
5008867,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,43.0,9.0,4,0,1,1.0
5112846,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,43.0,9.0,4,0,1,1.0
5008868,F,0,1,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Core staff,3.0,44.0,19.0,25,0,1,1.0
5008870,F,0,1,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Core staff,3.0,44.0,19.0,12,0,1,1.0
5008872,M,1,1,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Security staff,2.0,46.0,15.0,10,1,1,0.9090909090909091
5008873,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,34.0,5.0,22,0,1,1.0
5008874,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,34.0,5.0,46,0,1,1.0
5008875,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,34.0,5.0,40,0,1,1.0
5008876,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,34.0,5.0,44,0,1,1.0
5008877,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,34.0,5.0,8,0,1,1.0
5008878,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,34.0,5.0,9,3,1,0.75
5008879,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,34.0,5.0,22,0,1,1.0
5008880,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,34.0,5.0,11,0,1,1.0
5008881,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,34.0,5.0,20,0,1,1.0
5008882,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,34.0,5.0,40,0,1,1.0
5008888,F,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,1,0,0,0,Core staff,1.0,47.0,4.0,6,0,1,1.0
5008889,F,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,1,0,0,0,Core staff,1.0,47.0,4.0,5,0,1,1.0
5008890,F,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,1,0,0,0,Core staff,1.0,47.0,4.0,6,0,1,1.0
5112847,F,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,1,0,0,0,Core staff,1.0,47.0,4.0,6,0,1,1.0
5008891,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,8,0,1,1.0
5008892,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,16,0,1,1.0
5008893,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,37,0,1,1.0
5008894,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,37,0,1,1.0
5008895,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,35,0,1,1.0
5008896,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,16,0,1,1.0
5008897,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,16,0,1,1.0
5008898,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,21,0,1,1.0
5008899,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,16,0,1,1.0
5008900,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,21,0,1,1.0
5008901,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,16,0,1,1.0
5008902,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,20,1,1,0.9523809523809523
5008903,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,16,0,1,1.0
5008904,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,20,1,1,0.9523809523809523
5008905,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,16,0,1,1.0
5008906,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,20,1,1,0.9523809523809523
5008907,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,16,0,1,1.0
5008908,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,20,1,1,0.9523809523809523
5008909,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,16,0,1,1.0
5008910,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,20,1,1,0.9523809523809523
5008911,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,16,0,1,1.0
5008912,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,20,1,1,0.9523809523809523
5008913,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,16,0,1,1.0
5008914,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,18,1,1,0.9473684210526315
5008915,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,16,0,1,1.0
5008916,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,17,1,1,0.9444444444444444
5008917,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,16,0,1,1.0
5008918,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,16,1,1,0.9411764705882353
5008919,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,16,0,1,1.0
5008920,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,15,1,1,0.9375
5008921,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,14,0,1,1.0
5008922,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,13,1,1,0.9285714285714286
5008923,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,13,0,1,1.0
5008924,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,13,0,1,1.0
5008925,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,13,0,1,1.0
5008926,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,11,1,1,0.9166666666666666
5008927,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,10,0,1,1.0
5008928,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,9,1,1,0.9
5008929,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,8,0,1,1.0
5008930,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,7,0,1,1.0
5008931,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,6,0,1,1.0
5008932,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,6,0,1,1.0
5008933,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,6,0,1,1.0
5008934,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,5,0,1,1.0
5008935,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,5,0,1,1.0
5008936,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,4,0,1,1.0
5008937,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,2,0,1,1.0
5008938,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,2,0,1,1.0
5008939,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,1,0,1,1.0
5008940,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,2,0,1,1.0
5008941,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,43.0,9.0,8,0,1,1.0
5008942,F,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,High skill tech staff,2.0,37.0,13.0,13,3,1,0.8125
5008943,F,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,High skill tech staff,2.0,37.0,13.0,15,0,1,1.0
5008944,F,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,High skill tech staff,2.0,37.0,13.0,13,3,1,0.8125
5008945,F,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,High skill tech staff,2.0,37.0,13.0,13,3,1,0.8125
5008946,F,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,High skill tech staff,2.0,37.0,13.0,13,3,1,0.8125
5008947,M,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2.0,42.0,4.0,13,0,1,1.0
5008948,M,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2.0,42.0,4.0,13,0,1,1.0
5008949,M,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2.0,42.0,4.0,1,0,1,1.0
5008950,M,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2.0,42.0,4.0,13,0,1,1.0
5008955,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,49.0,5.0,5,0,1,1.0
5008956,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,49.0,5.0,40,0,1,1.0
5008957,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,49.0,5.0,40,0,1,1.0
5008958,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,49.0,5.0,4,0,1,1.0
5008959,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,49.0,5.0,16,0,1,1.0
5008960,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,49.0,5.0,29,0,1,1.0
5008962,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,49.0,5.0,27,0,1,1.0
5008963,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,49.0,5.0,39,0,1,1.0
5008981,M,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,57.0,7.0,11,0,1,1.0
5008983,M,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,57.0,7.0,12,0,1,1.0
5008984,M,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,57.0,7.0,59,0,1,1.0
5008986,M,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,57.0,7.0,11,0,1,1.0
5008987,M,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,57.0,7.0,11,0,1,1.0
5008988,M,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,57.0,7.0,17,0,1,1.0
5008991,F,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Cleaning staff,1.0,45.0,3.0,29,0,1,1.0
5008992,F,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Cleaning staff,1.0,45.0,3.0,7,0,1,1.0
5008993,F,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Cleaning staff,1.0,45.0,3.0,18,0,1,1.0
5008994,F,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Cleaning staff,1.0,45.0,3.0,20,0,1,1.0
5008995,F,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Cleaning staff,1.0,45.0,3.0,19,0,1,1.0
5112861,F,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Cleaning staff,1.0,45.0,3.0,20,0,1,1.0
5008998,F,1,1,0,270000.0,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2.0,29.0,2.0,4,0,1,1.0
5008999,F,1,1,0,270000.0,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2.0,29.0,2.0,4,0,1,1.0
5009000,M,1,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2.0,27.0,2.0,23,0,1,1.0
5009001,M,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2.0,52.0,17.0,7,0,1,1.0
5009002,M,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2.0,52.0,17.0,7,0,1,1.0
5009005,M,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2.0,52.0,17.0,7,0,1,1.0
5009006,M,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2.0,52.0,17.0,11,0,1,1.0
5009007,M,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2.0,52.0,17.0,11,0,1,1.0
5009008,M,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2.0,52.0,17.0,7,0,1,1.0
5009009,M,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2.0,52.0,17.0,11,0,1,1.0
5009010,M,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2.0,52.0,17.0,7,0,1,1.0
5009012,M,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2.0,52.0,17.0,6,0,1,1.0
5009014,M,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2.0,52.0,17.0,7,0,1,1.0
5009027,F,1,1,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,Laborers,2.0,54.0,30.0,22,0,1,1.0
5112862,F,1,1,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,Laborers,2.0,54.0,30.0,29,0,1,1.0
5009028,F,1,1,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,40.0,8.0,10,1,1,0.9090909090909091
5009029,F,1,1,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,40.0,8.0,16,0,1,1.0
5009031,F,0,1,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Accountants,1.0,29.0,3.0,14,0,1,1.0
5009032,F,0,1,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Accountants,1.0,29.0,3.0,14,0,1,1.0
5009039,F,0,1,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Core staff,3.0,39.0,2.0,9,0,1,1.0
5009040,F,0,1,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Core staff,3.0,39.0,2.0,4,0,1,1.0
5009042,F,0,1,0,148500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2.0,48.0,2.0,21,0,1,1.0
5009043,F,0,1,0,148500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2.0,48.0,2.0,19,0,1,1.0
5009044,F,0,1,0,148500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2.0,48.0,2.0,14,1,1,0.9333333333333333
5009045,F,0,1,0,148500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2.0,48.0,2.0,14,1,1,0.9333333333333333
5009046,F,0,1,0,148500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2.0,48.0,2.0,8,0,1,1.0
5009047,F,0,1,0,148500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2.0,48.0,2.0,12,0,1,1.0
5009050,F,0,1,2,202500.0,Working,Higher education,Married,House / apartment,1,0,0,1,Core staff,4.0,30.0,6.0,14,0,1,1.0
