,country,year,sex,age,suicides/100k pop,HDI for year,gdp_per_capita,generation,Region,Assigned To Zone
110,Argentina,2014,male,25-34 years,16,0.836,13400,Millenials,South/Latin America,II
111,Argentina,2014,male,55-74 years,13,0.836,13400,Boomers,South/Latin America,II
112,Argentina,2014,male,35-54 years,12,0.836,13400,Generation X,South/Latin America,II
113,Argentina,2014,female,15-24 years,6,0.836,13400,Millenials,South/Latin America,II
114,Argentina,2014,female,35-54 years,3,0.836,13400,Generation X,South/Latin America,II
115,Argentina,2014,female,25-34 years,3,0.836,13400,Millenials,South/Latin America,II
116,Argentina,2014,female,55-74 years,3,0.836,13400,Boomers,South/Latin America,II
117,Argentina,2014,female,75+ years,1,0.836,13400,Silent,South/Latin America,II
118,Argentina,2014,female,5-14 years,0,0.836,13400,Generation Z,South/Latin America,II
119,Argentina,2014,male,5-14 years,0,0.836,13400,Generation Z,South/Latin America,II
120,Armenia,1990,male,35-54 years,7,0.632,756,Silent,Europe,II
121,Armenia,1990,male,75+ years,7,0.632,756,G.I. Generation,Europe,II
122,Armenia,1990,male,55-74 years,5,0.632,756,G.I. Generation,Europe,II
123,Armenia,1990,male,25-34 years,5,0.632,756,Boomers,Europe,II
124,Armenia,1990,female,35-54 years,4,0.632,756,Silent,Europe,II
125,Armenia,1990,male,15-24 years,3,0.632,756,Generation X,Europe,II
126,Armenia,1990,female,55-74 years,2,0.632,756,G.I. Generation,Europe,II
127,Armenia,1990,female,75+ years,2,0.632,756,G.I. Generation,Europe,II
128,Armenia,1990,female,25-34 years,1,0.632,756,Boomers,Europe,II
129,Armenia,1990,female,15-24 years,1,0.632,756,Generation X,Europe,II
130,Armenia,1990,female,5-14 years,0,0.632,756,Generation X,Europe,II
131,Armenia,1990,male,5-14 years,0,0.632,756,Generation X,Europe,II
132,Armenia,1995,male,55-74 years,11,0.605,426,Silent,Europe,II
133,Armenia,1995,male,35-54 years,8,0.605,426,Boomers,Europe,II
134,Armenia,1995,male,25-34 years,7,0.605,426,Generation X,Europe,II
135,Armenia,1995,male,75+ years,7,0.605,426,G.I. Generation,Europe,II
136,Armenia,1995,female,75+ years,3,0.605,426,G.I. Generation,Europe,II
137,Armenia,1995,female,55-74 years,3,0.605,426,Silent,Europe,II
138,Armenia,1995,female,25-34 years,3,0.605,426,Generation X,Europe,II
139,Armenia,1995,male,15-24 years,3,0.605,426,Generation X,Europe,II
140,Armenia,1995,female,35-54 years,1,0.605,426,Boomers,Europe,II
141,Armenia,1995,female,15-24 years,0,0.605,426,Generation X,Europe,II
142,Armenia,1995,male,5-14 years,0,0.605,426,Millenials,Europe,II
143,Armenia,1995,female,5-14 years,0,0.605,426,Millenials,Europe,II
144,Armenia,2000,male,75+ years,10,0.648,530,G.I. Generation,Europe,II
145,Armenia,2000,female,75+ years,7,0.648,530,G.I. Generation,Europe,II
146,Armenia,2000,male,55-74 years,5,0.648,530,Silent,Europe,II
147,Armenia,2000,male,35-54 years,3,0.648,530,Boomers,Europe,II
148,Armenia,2000,male,25-34 years,1,0.648,530,Generation X,Europe,II
149,Armenia,2000,male,15-24 years,1,0.648,530,Generation X,Europe,II
150,Armenia,2000,female,25-34 years,1,0.648,530,Generation X,Europe,II
151,Armenia,2000,female,55-74 years,1,0.648,530,Silent,Europe,II
152,Armenia,2000,female,35-54 years,0,0.648,530,Boomers,Europe,II
153,Armenia,2000,female,15-24 years,0,0.648,530,Generation X,Europe,II
154,Armenia,2000,female,5-14 years,0,0.648,530,Millenials,Europe,II
155,Armenia,2000,male,5-14 years,0,0.648,530,Millenials,Europe,II
156,Armenia,2010,male,75+ years,11,0.721,3460,Silent,Europe,II
157,Armenia,2010,male,55-74 years,6,0.721,3460,Silent,Europe,II
158,Armenia,2010,male,25-34 years,4,0.721,3460,Generation X,Europe,II
159,Armenia,2010,male,35-54 years,4,0.721,3460,Generation X,Europe,II
160,Armenia,2010,male,15-24 years,3,0.721,3460,Millenials,Europe,II
161,Armenia,2010,female,55-74 years,2,0.721,3460,Silent,Europe,II
162,Armenia,2010,female,75+ years,2,0.721,3460,Silent,Europe,II
163,Armenia,2010,female,5-14 years,1,0.721,3460,Generation Z,Europe,II
164,Armenia,2010,female,35-54 years,1,0.721,3460,Generation X,Europe,II
165,Armenia,2010,male,5-14 years,1,0.721,3460,Generation Z,Europe,II
166,Armenia,2010,female,15-24 years,0,0.721,3460,Millenials,Europe,II
167,Armenia,2010,female,25-34 years,0,0.721,3460,Generation X,Europe,II
168,Armenia,2011,female,75+ years,6,0.723,3798,Silent,Europe,II
169,Armenia,2011,male,35-54 years,6,0.723,3798,Generation X,Europe,II
170,Armenia,2011,male,55-74 years,5,0.723,3798,Boomers,Europe,II
171,Armenia,2011,male,25-34 years,3,0.723,3798,Millenials,Europe,II
172,Armenia,2011,male,75+ years,3,0.723,3798,Silent,Europe,II
173,Armenia,2011,male,15-24 years,2,0.723,3798,Millenials,Europe,II
174,Armenia,2011,female,15-24 years,1,0.723,3798,Millenials,Europe,II
175,Armenia,2011,female,55-74 years,1,0.723,3798,Boomers,Europe,II
176,Armenia,2011,female,35-54 years,0,0.723,3798,Generation X,Europe,II
177,Armenia,2011,female,25-34 years,0,0.723,3798,Millenials,Europe,II
178,Armenia,2011,female,5-14 years,0,0.723,3798,Generation Z,Europe,II
179,Armenia,2011,male,5-14 years,0,0.723,3798,Generation Z,Europe,II
180,Armenia,2012,male,75+ years,8,0.728,3773,Silent,Europe,II
181,Armenia,2012,male,35-54 years,6,0.728,3773,Generation X,Europe,II
182,Armenia,2012,male,55-74 years,5,0.728,3773,Boomers,Europe,II
183,Armenia,2012,male,25-34 years,4,0.728,3773,Millenials,Europe,II
184,Armenia,2012,female,75+ years,3,0.728,3773,Silent,Europe,II
185,Armenia,2012,male,15-24 years,1,0.728,3773,Millenials,Europe,II
186,Armenia,2012,female,35-54 years,1,0.728,3773,Generation X,Europe,II
187,Armenia,2012,female,25-34 years,1,0.728,3773,Millenials,Europe,II
188,Armenia,2012,female,55-74 years,1,0.728,3773,Boomers,Europe,II
189,Armenia,2012,female,15-24 years,0,0.728,3773,Millenials,Europe,II
190,Armenia,2012,male,5-14 years,0,0.728,3773,Generation Z,Europe,II
191,Armenia,2012,female,5-14 years,0,0.728,3773,Generation Z,Europe,II
192,Armenia,2013,male,75+ years,11,0.731,3957,Silent,Europe,II
193,Armenia,2013,female,75+ years,6,0.731,3957,Silent,Europe,II
194,Armenia,2013,male,55-74 years,5,0.731,3957,Boomers,Europe,II
195,Armenia,2013,female,55-74 years,3,0.731,3957,Boomers,Europe,II
196,Armenia,2013,male,25-34 years,3,0.731,3957,Millenials,Europe,II
197,Armenia,2013,male,35-54 years,3,0.731,3957,Generation X,Europe,II
198,Armenia,2013,female,35-54 years,1,0.731,3957,Generation X,Europe,II
199,Armenia,2013,male,15-24 years,0,0.731,3957,Millenials,Europe,II
200,Armenia,2013,male,5-14 years,0,0.731,3957,Generation Z,Europe,II
201,Armenia,2013,female,15-24 years,0,0.731,3957,Millenials,Europe,II
202,Armenia,2013,female,25-34 years,0,0.731,3957,Millenials,Europe,II
203,Armenia,2013,female,5-14 years,0,0.731,3957,Generation Z,Europe,II
204,Armenia,2014,male,75+ years,14,0.733,4142,Silent,Europe,II
205,Armenia,2014,female,75+ years,6,0.733,4142,Silent,Europe,II
206,Armenia,2014,male,55-74 years,5,0.733,4142,Boomers,Europe,II
207,Armenia,2014,male,35-54 years,3,0.733,4142,Generation X,Europe,II
208,Armenia,2014,male,25-34 years,2,0.733,4142,Millenials,Europe,II
209,Armenia,2014,female,55-74 years,1,0.733,4142,Boomers,Europe,II
210,Armenia,2014,male,15-24 years,1,0.733,4142,Millenials,Europe,II
211,Armenia,2014,female,15-24 years,0,0.733,4142,Millenials,Europe,II
212,Armenia,2014,female,5-14 years,0,0.733,4142,Generation Z,Europe,II
213,Armenia,2014,female,35-54 years,0,0.733,4142,Generation X,Europe,II
214,Armenia,2014,female,25-34 years,0,0.733,4142,Millenials,Europe,II
215,Armenia,2014,male,5-14 years,0,0.733,4142,Generation Z,Europe,II
216,Australia,1990,male,75+ years,31,0.865,19665,G.I. Generation,Asia & Pacific,II
217,Australia,1990,male,25-34 years,29,0.865,19665,Boomers,Asia & Pacific,II
218,Australia,1990,male,15-24 years,26,0.865,19665,Generation X,Asia & Pacific,II
219,Australia,1990,male,55-74 years,25,0.865,19665,G.I. Generation,Asia & Pacific,II
220,Australia,1990,male,35-54 years,24,0.865,19665,Silent,Asia & Pacific,II
221,Australia,1990,female,75+ years,7,0.865,19665,G.I. Generation,Asia & Pacific,II
222,Australia,1990,female,25-34 years,7,0.865,19665,Boomers,Asia & Pacific,II
223,Australia,1990,female,55-74 years,7,0.865,19665,G.I. Generation,Asia & Pacific,II
224,Australia,1990,female,35-54 years,6,0.865,19665,Silent,Asia & Pacific,II
225,Australia,1990,female,15-24 years,4,0.865,19665,Generation X,Asia & Pacific,II
226,Australia,1990,male,5-14 years,0,0.865,19665,Generation X,Asia & Pacific,II
227,Australia,1990,female,5-14 years,0,0.865,19665,Generation X,Asia & Pacific,II
228,Australia,1995,male,25-34 years,30,0.882,21902,Generation X,Asia & Pacific,II
229,Australia,1995,male,75+ years,26,0.882,21902,G.I. Generation,Asia & Pacific,II
230,Australia,1995,male,35-54 years,23,0.882,21902,Boomers,Asia & Pacific,II
231,Australia,1995,male,15-24 years,23,0.882,21902,Generation X,Asia & Pacific,II
232,Australia,1995,male,55-74 years,20,0.882,21902,Silent,Asia & Pacific,II
233,Australia,1995,female,35-54 years,7,0.882,21902,Boomers,Asia & Pacific,II
234,Australia,1995,female,25-34 years,6,0.882,21902,Generation X,Asia & Pacific,II
235,Australia,1995,female,15-24 years,6,0.882,21902,Generation X,Asia & Pacific,II
236,Australia,1995,female,55-74 years,5,0.882,21902,Silent,Asia & Pacific,II
237,Australia,1995,female,75+ years,5,0.882,21902,G.I. Generation,Asia & Pacific,II
238,Australia,1995,male,5-14 years,0,0.882,21902,Millenials,Asia & Pacific,II
239,Australia,1995,female,5-14 years,0,0.882,21902,Millenials,Asia & Pacific,II
240,Australia,2000,male,25-34 years,32,0.898,23219,Generation X,Asia & Pacific,II
241,Australia,2000,male,75+ years,27,0.898,23219,G.I. Generation,Asia & Pacific,II
242,Australia,2000,male,35-54 years,26,0.898,23219,Boomers,Asia & Pacific,II
243,Australia,2000,male,15-24 years,20,0.898,23219,Generation X,Asia & Pacific,II
244,Australia,2000,male,55-74 years,18,0.898,23219,Silent,Asia & Pacific,II
245,Australia,2000,female,25-34 years,7,0.898,23219,Generation X,Asia & Pacific,II
246,Australia,2000,female,35-54 years,7,0.898,23219,Boomers,Asia & Pacific,II
247,Australia,2000,female,15-24 years,6,0.898,23219,Generation X,Asia & Pacific,II
248,Australia,2000,female,55-74 years,5,0.898,23219,Silent,Asia & Pacific,II
249,Australia,2000,female,75+ years,5,0.898,23219,G.I. Generation,Asia & Pacific,II
250,Australia,2000,male,5-14 years,0,0.898,23219,Millenials,Asia & Pacific,II
251,Australia,2000,female,5-14 years,0,0.898,23219,Millenials,Asia & Pacific,II
252,Australia,2010,male,35-54 years,26,0.927,54887,Generation X,Asia & Pacific,II
253,Australia,2010,male,75+ years,25,0.927,54887,Silent,Asia & Pacific,II
254,Australia,2010,male,25-34 years,19,0.927,54887,Generation X,Asia & Pacific,II
255,Australia,2010,male,55-74 years,17,0.927,54887,Silent,Asia & Pacific,II
256,Australia,2010,male,15-24 years,13,0.927,54887,Millenials,Asia & Pacific,II
257,Australia,2010,female,35-54 years,7,0.927,54887,Generation X,Asia & Pacific,II
258,Australia,2010,female,25-34 years,5,0.927,54887,Generation X,Asia & Pacific,II
259,Australia,2010,female,75+ years,5,0.927,54887,Silent,Asia & Pacific,II
260,Australia,2010,female,15-24 years,5,0.927,54887,Millenials,Asia & Pacific,II
261,Australia,2010,female,55-74 years,4,0.927,54887,Silent,Asia & Pacific,II
262,Australia,2010,male,5-14 years,0,0.927,54887,Generation Z,Asia & Pacific,II
263,Australia,2010,female,5-14 years,0,0.927,54887,Generation Z,Asia & Pacific,II
264,Australia,2011,male,75+ years,24,0.93,66770,Silent,Asia & Pacific,II
265,Australia,2011,male,35-54 years,22,0.93,66770,Generation X,Asia & Pacific,II
266,Australia,2011,male,25-34 years,21,0.93,66770,Millenials,Asia & Pacific,II
267,Australia,2011,male,55-74 years,17,0.93,66770,Boomers,Asia & Pacific,II
268,Australia,2011,male,15-24 years,15,0.93,66770,Millenials,Asia & Pacific,II
269,Australia,2011,female,35-54 years,7,0.93,66770,Generation X,Asia & Pacific,II
270,Australia,2011,female,15-24 years,6,0.93,66770,Millenials,Asia & Pacific,II
271,Australia,2011,female,55-74 years,5,0.93,66770,Boomers,Asia & Pacific,II
272,Australia,2011,female,75+ years,5,0.93,66770,Silent,Asia & Pacific,II
273,Australia,2011,female,25-34 years,5,0.93,66770,Millenials,Asia & Pacific,II
274,Australia,2011,female,5-14 years,0,0.93,66770,Generation Z,Asia & Pacific,II
275,Australia,2011,male,5-14 years,0,0.93,66770,Generation Z,Asia & Pacific,II
276,Australia,2012,male,75+ years,26,0.932,72669,Silent,Asia & Pacific,II
277,Australia,2012,male,35-54 years,25,0.932,72669,Generation X,Asia & Pacific,II
278,Australia,2012,male,25-34 years,21,0.932,72669,Millenials,Asia & Pacific,II
279,Australia,2012,male,55-74 years,18,0.932,72669,Boomers,Asia & Pacific,II
280,Australia,2012,male,15-24 years,13,0.932,72669,Millenials,Asia & Pacific,II
281,Australia,2012,female,35-54 years,8,0.932,72669,Generation X,Asia & Pacific,II
282,Australia,2012,female,15-24 years,7,0.932,72669,Millenials,Asia & Pacific,II
283,Australia,2012,female,75+ years,6,0.932,72669,Silent,Asia & Pacific,II
284,Australia,2012,female,25-34 years,6,0.932,72669,Millenials,Asia & Pacific,II
285,Australia,2012,female,55-74 years,5,0.932,72669,Boomers,Asia & Pacific,II
286,Australia,2012,female,5-14 years,0,0.932,72669,Generation Z,Asia & Pacific,II
287,Australia,2012,male,5-14 years,0,0.932,72669,Generation Z,Asia & Pacific,II
288,Australia,2013,male,75+ years,25,0.9329999999999999,72856,Silent,Asia & Pacific,II
289,Australia,2013,male,35-54 years,24,0.9329999999999999,72856,Generation X,Asia & Pacific,II
290,Australia,2013,male,25-34 years,19,0.9329999999999999,72856,Millenials,Asia & Pacific,II
291,Australia,2013,male,55-74 years,18,0.9329999999999999,72856,Boomers,Asia & Pacific,II
292,Australia,2013,male,15-24 years,16,0.9329999999999999,72856,Millenials,Asia & Pacific,II
293,Australia,2013,female,35-54 years,8,0.9329999999999999,72856,Generation X,Asia & Pacific,II
294,Australia,2013,female,55-74 years,6,0.9329999999999999,72856,Boomers,Asia & Pacific,II
295,Australia,2013,female,15-24 years,6,0.9329999999999999,72856,Millenials,Asia & Pacific,II
296,Australia,2013,female,25-34 years,5,0.9329999999999999,72856,Millenials,Asia & Pacific,II
297,Australia,2013,female,75+ years,5,0.9329999999999999,72856,Silent,Asia & Pacific,II
298,Australia,2013,male,5-14 years,1,0.9329999999999999,72856,Generation Z,Asia & Pacific,II
299,Australia,2013,female,5-14 years,0,0.9329999999999999,72856,Generation Z,Asia & Pacific,II
300,Australia,2014,male,35-54 years,27,0.935,66809,Generation X,Asia & Pacific,II
301,Australia,2014,male,75+ years,25,0.935,66809,Silent,Asia & Pacific,II
302,Australia,2014,male,25-34 years,23,0.935,66809,Millenials,Asia & Pacific,II
303,Australia,2014,male,55-74 years,20,0.935,66809,Boomers,Asia & Pacific,II
304,Australia,2014,male,15-24 years,16,0.935,66809,Millenials,Asia & Pacific,II
305,Australia,2014,female,35-54 years,8,0.935,66809,Generation X,Asia & Pacific,II
306,Australia,2014,female,25-34 years,6,0.935,66809,Millenials,Asia & Pacific,II
307,Australia,2014,female,55-74 years,6,0.935,66809,Boomers,Asia & Pacific,II
308,Australia,2014,female,15-24 years,6,0.935,66809,Millenials,Asia & Pacific,II
309,Australia,2014,female,75+ years,5,0.935,66809,Silent,Asia & Pacific,II
310,Australia,2014,female,5-14 years,1,0.935,66809,Generation Z,Asia & Pacific,II
311,Australia,2014,male,5-14 years,0,0.935,66809,Generation Z,Asia & Pacific,II
312,Azerbaijan,1995,male,75+ years,5,0.609,462,G.I. Generation,Asia & Pacific,II
313,Azerbaijan,1995,male,35-54 years,2,0.609,462,Boomers,Asia & Pacific,II
314,Azerbaijan,1995,male,55-74 years,2,0.609,462,Silent,Asia & Pacific,II
315,Azerbaijan,1995,male,15-24 years,1,0.609,462,Generation X,Asia & Pacific,II
316,Azerbaijan,1995,female,75+ years,1,0.609,462,G.I. Generation,Asia & Pacific,II
317,Azerbaijan,1995,male,25-34 years,0,0.609,462,Generation X,Asia & Pacific,II
318,Azerbaijan,1995,female,25-34 years,0,0.609,462,Generation X,Asia & Pacific,II
319,Azerbaijan,1995,female,35-54 years,0,0.609,462,Boomers,Asia & Pacific,II
320,Azerbaijan,1995,female,15-24 years,0,0.609,462,Generation X,Asia & Pacific,II
321,Azerbaijan,1995,female,5-14 years,0,0.609,462,Millenials,Asia & Pacific,II
322,Azerbaijan,1995,female,55-74 years,0,0.609,462,Silent,Asia & Pacific,II
323,Azerbaijan,1995,male,5-14 years,0,0.609,462,Millenials,Asia & Pacific,II
324,Azerbaijan,2000,male,75+ years,2,0.64,711,G.I. Generation,Asia & Pacific,II
325,Azerbaijan,2000,male,55-74 years,2,0.64,711,Silent,Asia & Pacific,II
326,Azerbaijan,2000,female,75+ years,2,0.64,711,G.I. Generation,Asia & Pacific,II
327,Azerbaijan,2000,male,25-34 years,1,0.64,711,Generation X,Asia & Pacific,II
328,Azerbaijan,2000,male,35-54 years,1,0.64,711,Boomers,Asia & Pacific,II
329,Azerbaijan,2000,male,15-24 years,1,0.64,711,Generation X,Asia & Pacific,II
330,Azerbaijan,2000,female,55-74 years,0,0.64,711,Silent,Asia & Pacific,II
331,Azerbaijan,2000,female,15-24 years,0,0.64,711,Generation X,Asia & Pacific,II
332,Azerbaijan,2000,female,25-34 years,0,0.64,711,Generation X,Asia & Pacific,II
333,Azerbaijan,2000,female,35-54 years,0,0.64,711,Boomers,Asia & Pacific,II
334,Azerbaijan,2000,female,5-14 years,0,0.64,711,Millenials,Asia & Pacific,II
335,Azerbaijan,2000,male,5-14 years,0,0.64,711,Millenials,Asia & Pacific,II
336,Bahrain,1985,male,25-34 years,10,0.727,9980,Boomers,Arab States,IVa
